,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
348,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
349,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
350,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
351,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
352,Viêm khớp,cổ cứng,sưng khớp,cứng cổ không xoay được,đau khi đi bộ
353,Viêm khớp,yếu cơ,sưng khớp,cứng cổ không xoay được,đau khi đi bộ
354,Viêm khớp,yếu cơ,cổ cứng,cứng cổ không xoay được,đau khi đi bộ
355,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,đau khi đi bộ
356,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
357,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
358,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
359,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
360,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
361,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
362,(Chóng mặt) Chóng mặt tư thế kịch phát,đau đầu,buồn nôn,cứng cơ,chóng mặt
363,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,buồn nôn,cứng cơ,chóng mặt
364,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,cứng cơ,chóng mặt
365,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,chóng mặt
366,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
367,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
368,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
369,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,chóng mặt
370,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
371,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
372,Mụn trứng cá,nổi mụn mủ,mụn đầu đen,thiếu vitamin c,
373,Mụn trứng cá,phát ban da,mụn đầu đen,thiếu vitamin c,
374,Mụn trứng cá,phát ban da,nổi mụn mủ,thiếu vitamin c,
375,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,
376,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
377,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,
378,Mụn trứng cá,phát ban da,nổi mụn mủ,thiếu vitamin c,
379,Mụn trứng cá,phát ban da,mụn đầu đen,thiếu vitamin c,
380,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
381,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
382,Nhiễm trùng đường tiết niệu,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục,
383,Nhiễm trùng đường tiết niệu,đi tiểu rát,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục,
384,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,cảm giác muốn đi tiểu liên tục,
385,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,
386,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
387,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,cảm giác muốn đi tiểu liên tục,
388,Nhiễm trùng đường tiết niệu,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục,
389,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,cảm giác muốn đi tiểu liên tục,
390,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
391,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
392,Bệnh vẩy nến,đau khớp,bong tróc da,da bị vẩy,móng tay bị lõm
393,Bệnh vẩy nến,phát ban da,bong tróc da,da bị vẩy,móng tay bị lõm
394,Bệnh vẩy nến,phát ban da,đau khớp,da bị vẩy,móng tay bị lõm
395,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,móng tay bị lõm
396,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
397,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
398,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
399,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
400,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
401,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
402,Bệnh chốc lở,sốt cao,mụn rộp,xung quanh mũi bị đỏ,rỉ ra vỏ màu vàng
403,Bệnh chốc lở,phát ban da,mụn rộp,xung quanh mũi bị đỏ,rỉ ra vỏ màu vàng
404,Bệnh chốc lở,phát ban da,mụn rộp,xung quanh mũi bị đỏ,rỉ ra vỏ màu vàng
405,Bệnh chốc lở,phát ban da,sốt cao,xung quanh mũi bị đỏ,rỉ ra vỏ màu vàng
406,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,rỉ ra vỏ màu vàng
407,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
408,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
409,Bệnh chốc lở,phát ban da,mụn rộp,xung quanh mũi bị đỏ,rỉ ra vỏ màu vàng
410,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
411,Nhiễm trùng nấm,phát ban da,nổi mụn nút trên da,,
412,Nhiễm trùng nấm,ngứa,nổi mụn nút trên da,,
413,Nhiễm trùng nấm,ngứa,phát ban da,,
414,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
415,Nhiễm trùng nấm,phát ban da,nổi mụn nút trên da,,
416,Nhiễm trùng nấm,ngứa,nổi mụn nút trên da,,
417,Nhiễm trùng nấm,ngứa,phát ban da,,
418,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
419,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
420,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt
421,Dị ứng,run rẩy,ớn lạnh,chảy nước mắt,
422,Dị ứng,hắt hơi liên tục,ớn lạnh,chảy nước mắt,
423,Dị ứng,hắt hơi liên tục,run rẩy,chảy nước mắt,
424,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,
425,Dị ứng,run rẩy,ớn lạnh,chảy nước mắt,
426,Dị ứng,hắt hơi liên tục,ớn lạnh,chảy nước mắt,
427,Dị ứng,hắt hơi liên tục,run rẩy,chảy nước mắt,
428,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,
429,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt
430,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
431,Bệnh trào ngược dạ dày,đau bụng,loét trên miệng,nôn mửa,ho
432,Bệnh trào ngược dạ dày,đau bụng,ợ chua,nôn mửa,ho
433,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,ho
434,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
435,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
436,Bệnh trào ngược dạ dày,ợ chua,loét trên miệng,nôn mửa,ho
437,Bệnh trào ngược dạ dày,đau bụng,loét trên miệng,nôn mửa,ho
438,Bệnh trào ngược dạ dày,đau bụng,ợ chua,nôn mửa,ho
439,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,ho
440,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
441,Ứ mật mãn tính,nôn mửa,vàng da,buồn nôn,không thèm ăn
442,Ứ mật mãn tính,ngứa,vàng da,buồn nôn,không thèm ăn
443,Ứ mật mãn tính,ngứa,nôn mửa,buồn nôn,không thèm ăn
444,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,không thèm ăn
445,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
446,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
447,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
448,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
449,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
450,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
451,Phản ứng thuốc,ngứa,đau bụng,đi tiểu rát,đi tiểu thẫm
452,Phản ứng thuốc,ngứa,phát ban da,đi tiểu rát,đi tiểu thẫm
453,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu thẫm
454,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
455,Phản ứng thuốc,phát ban da,đau bụng,đi tiểu rát,đi tiểu thẫm
456,Phản ứng thuốc,ngứa,đau bụng,đi tiểu rát,đi tiểu thẫm
457,Phản ứng thuốc,ngứa,phát ban da,đi tiểu rát,đi tiểu thẫm
458,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu thẫm
459,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
460,Bệnh loét dạ dày tá tràng,nôn mửa,không thèm ăn,đau bụng,xì hơi
461,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,đau bụng,xì hơi
462,Bệnh loét dạ dày tá tràng,khó tiêu,không thèm ăn,đau bụng,xì hơi
463,Bệnh loét dạ dày tá tràng,nôn mửa,không thèm ăn,đau bụng,xì hơi
464,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,đau bụng,xì hơi
465,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,xì hơi
466,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
467,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
468,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
469,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
470,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
471,AIDS,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh,
472,AIDS,suy giảm cơ,sốt cao,quan hệ tình dục linh tinh,
473,AIDS,suy giảm cơ,có đờm trong họng,quan hệ tình dục linh tinh,
474,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,
475,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
476,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
477,AIDS,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh,
478,AIDS,suy giảm cơ,sốt cao,quan hệ tình dục linh tinh,
479,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,
480,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
481,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
482,Bệnh tiểu đường,tụt cân,bồn chồn,hôn mê,mức đường huyết không đều
483,Bệnh tiểu đường,mệt mỏi,bồn chồn,hôn mê,mức đường huyết không đều
484,Bệnh tiểu đường,mệt mỏi,tụt cân,hôn mê,mức đường huyết không đều
485,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,mức đường huyết không đều
486,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
487,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
488,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
489,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
490,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
491,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
492,Viêm dạ dày ruột,mắt thâm,mất nước,tiêu chảy,
493,Viêm dạ dày ruột,nôn mửa,mất nước,tiêu chảy,
494,Viêm dạ dày ruột,nôn mửa,mắt thâm,tiêu chảy,
495,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,
496,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
497,Viêm dạ dày ruột,mắt thâm,mất nước,tiêu chảy,
498,Viêm dạ dày ruột,nôn mửa,mất nước,tiêu chảy,
499,Viêm dạ dày ruột,nôn mửa,mắt thâm,tiêu chảy,
500,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
501,Hen phế quản,ho,sốt cao,khó thở,di tuyền gia đình
502,Hen phế quản,mệt mỏi,sốt cao,khó thở,di tuyền gia đình
503,Hen phế quản,mệt mỏi,ho,khó thở,di tuyền gia đình
504,Hen phế quản,mệt mỏi,ho,sốt cao,di tuyền gia đình
505,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
506,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
507,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
508,Hen phế quản,ho,sốt cao,khó thở,di tuyền gia đình
509,Hen phế quản,mệt mỏi,sốt cao,khó thở,di tuyền gia đình
510,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
511,Tăng huyết áp,đau ngực,chóng mặt,chóng mặt,mất tập trung
512,Tăng huyết áp,đau đầu,chóng mặt,chóng mặt,mất tập trung
513,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung
514,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung
515,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
516,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
517,Tăng huyết áp,đau ngực,chóng mặt,chóng mặt,mất tập trung
518,Tăng huyết áp,đau đầu,chóng mặt,chóng mặt,mất tập trung
519,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung
520,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
521,Chứng đau nửa đầu,khó tiêu,đau đầu,thị lực mờ,cảm giác đói quá mức
522,Chứng đau nửa đầu,ợ chua,đau đầu,thị lực mờ,cảm giác đói quá mức
523,Chứng đau nửa đầu,ợ chua,khó tiêu,thị lực mờ,cảm giác đói quá mức
524,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,cảm giác đói quá mức
525,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
526,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
527,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
528,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
529,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
530,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
531,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
532,Thoái hóa đốt sống cổ,mỏi chân tay,đau cổ,chóng mặt,chóng mặt
533,Thoái hóa đốt sống cổ,đau lưng,đau cổ,chóng mặt,chóng mặt
534,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,chóng mặt,chóng mặt
535,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
536,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
537,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
538,Thoái hóa đốt sống cổ,mỏi chân tay,đau cổ,chóng mặt,chóng mặt
539,Thoái hóa đốt sống cổ,đau lưng,đau cổ,chóng mặt,chóng mặt
540,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
541,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
542,Liệt (xuất huyết não),đau đầu,yếu một bên cơ thể,lú lẫn,
543,Liệt (xuất huyết não),nôn mửa,yếu một bên cơ thể,lú lẫn,
544,Liệt (xuất huyết não),nôn mửa,đau đầu,lú lẫn,
545,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,
546,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
547,Liệt (xuất huyết não),đau đầu,yếu một bên cơ thể,lú lẫn,
548,Liệt (xuất huyết não),nôn mửa,yếu một bên cơ thể,lú lẫn,
549,Liệt (xuất huyết não),nôn mửa,đau đầu,lú lẫn,
550,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
551,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
552,Vàng da,nôn mửa,mệt mỏi,tụt cân,sốt cao
553,Vàng da,ngứa,mệt mỏi,tụt cân,sốt cao
554,Vàng da,ngứa,nôn mửa,tụt cân,sốt cao
555,Vàng da,ngứa,nôn mửa,mệt mỏi,sốt cao
556,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
557,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
558,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
559,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
560,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
561,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
562,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
563,Sốt rét,nôn mửa,sốt cao,đổ mồ hôi,đau đầu
564,Sốt rét,ớn lạnh,sốt cao,đổ mồ hôi,đau đầu
565,Sốt rét,ớn lạnh,nôn mửa,đổ mồ hôi,đau đầu
566,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đau đầu
567,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
568,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
569,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
570,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
571,Thủy đậu,phát ban da,mệt mỏi,hôn mê,sốt cao
572,Thủy đậu,ngứa,mệt mỏi,hôn mê,sốt cao
573,Thủy đậu,ngứa,phát ban da,hôn mê,sốt cao
574,Thủy đậu,ngứa,phát ban da,mệt mỏi,sốt cao
575,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
576,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
577,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
578,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
579,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
580,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
581,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
582,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
583,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
584,Sốt xuất huyết,ớn lạnh,đau khớp,nôn mửa,mệt mỏi
585,Sốt xuất huyết,phát ban da,đau khớp,nôn mửa,mệt mỏi
586,Sốt xuất huyết,phát ban da,ớn lạnh,nôn mửa,mệt mỏi
587,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,mệt mỏi
588,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
589,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
590,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
591,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
592,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
593,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
594,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
